<<<<<<< HEAD
=======
Name,History,Blossom Texture,Img Link
Acacia,"Acacias were first described in Africa in 1733, since then they spread from Europe, Africa, Asia to the Americas. Acacia makes an excellent garden plant.",Furry,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/yellow-acacia.jpg
Agapanthus,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. It has large, round heads covered with blue or white tubular flowers. The Agapanthus derives its name from the Greek words for ”love” and ”flower”.",Waxy,
Allium,"Since Victorian times, a special meaning has been attached to flowers. The genus Allium have been prized since ancient times for their medicinal and culinary qualities. Growing to 4 or 5 feet tall with white, blue, lavender or purple snowball-shaped inflorescences atop bare stems.",Rough,
Alstroemeria,"Since Victorian times, a special meaning has been attached to flowers.It’s originally from the South American origin, which was later brought to Europe in the 18th century making it now grow internationally.",Satin ,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/alstroemeria.jpg
Amaranthus,"A native of South America, the amananthus’ name is derived from the Greek amarantos, which means “unfading” and is an appropriate reference to the flower’s long-lasting deep red, green or yellow blooms. Many parts of the plants, including the leaves and seeds, are edible, and are frequently used as a source of food in India and South America.",Fuzzy,
Amaryllis,"History of Amaryllis
Since Victorian times, a special meaning has been attached to flowers. Amaryllis blooms are huge, trumpet-shaped flowers clustered atop stately long, leafless stems. This flowers are traditionally sold during the winter holidays – both as cut flowers and packaged in potted bulb kits.",Satin,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/orange-amaryllis.jpg
Anemone,"Since Victorian times, a special meaning has been attached to flowers.In Greek mythology, the anemone symbolized the bloody death of the Greek god Adonis. Bereaved, Aphrodite is said to have used the blood-red anemone to preserve his memory and greet new life in the spring.",Satin,
Anthurium,"Anthuriums are commonly called flamingo flowers or tailflowers, which include more than 600 flower species native around the entire tropical U.S. regions. Their genus name, Anthurium, comes from the Greek words anthos meaning “flower,” and oura, meaning “tail.”",Waxy,https://www.flowershopnetwork.com/blog/flower-dictionary/anthurium/brown-anthurium/
Aster,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. A member of the Asteraceae family, the aster takes its name from the Latin word meaning “star” and refers to the flower’s starlike head.",Rough,https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/purple-aster.jpg
Babys Breath,"Since Victorian times, a special meaning has been attached to flowers. European and Northern Asian origins and is a relative of carnations.The baby’s breath is used primarily as a filler flower, and is available in both white and pink varieties.",Irregular,
Banksia,"Banksias are members of the Proteaceae family, and are indigenous to South Africa and Australia.",Coarse,
Bells of Ireland,"Since Victorian times, a special meaning has been attached to flowers. Each flower or flower color is a symbolic representation of an emotion or expression. Native to western Asia, the genus Moluccella gets its name from the Indonesian Molucca Islands, which were once mistakenly thought to be the flower’s native land.","Irregular
Stem Size: 16-26”",https://www.flowershopnetwork.com/blog/wp-content/uploads/2009/07/bells-of-ireland.jpg
Bird of Paradise,Strelitzia is a genus of four species which are native to South Africa. The genus is known as the bird of paradise because of its resemblance to the bird which shares its name.,Waxy,
Boronia,"This evergreen shrub is a native of Australia and Tasmania. It is named in honor of Francesco Borone, a personal servant who died in 1794 while collecting a plant for botanist John Sibthorp.",Irregular,
Bouvardia,"Of the more than 30 bouvardia species known, most are shrubs and herbs native to Mexico and Central America. The genus is named in honor of Charles Bouvard (1572–1658), physician to Louis XIII",Satin,
